MMS Id,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base Status,Barcode,Scanned Barcode,Notes/Comments,Retention Commitment
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.2(1975),Item in place,0123500002316,39097014560628,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.21:no.1(2009:Feb.),Item in place,B679700,39097014560636,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.21:no.2(2009:Apr.),Item in place,B679701,39097014560644,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.21:no.3(2009:June),Item in place,B679702,39097014560651,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.21:no.5(2009:Oct.),Item in place,B679704,39097014560669,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.21:no.6(2009:Dec.),Item in place,B679705,39097014560677,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.3(1976),Item in place,0123500002324,39097014560685,,
9946800101921,0n#6505 a619,Main Library,Stacks,N6505 .A619,American art review.,v.4(1977-1978:July-Nov.),Item in place,0123500002332,39097014560693,,
993383110101921,0n#6515 a7,Main Library,Stacks,N6515 .A7,Art New England.,v.36:no.1(2015:Jan.-Feb.),Item in place,B2037548,39097014560701,,
993383110101921,0n#6515 a7,Main Library,Stacks,N6515 .A7,Art New England.,v.36:no.2(2015:Mar.-Apr.),Item in place,B2039067,39097014560719,,
993383110101921,0n#6515 a7,Main Library,Stacks,N6515 .A7,Art New England.,v.36:no.3(2015:May-Jun.),Item in place,B2040988,39097014560727,,
993383110101921,0n#6515 a7,Main Library,Stacks,N6515 .A7,Art New England.,v.36:no.5(2015:Sept.-Oct.),Item in place,B2044185,39097014560735,,
993383110101921,0n#6515 a7,Main Library,Stacks,N6515 .A7,Art New England.,v.36:no.6(2015:Nov.-Dec.),Item in place,B2046487,39097014560743,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.1(1925-1926),Item in place,0123500351184,39097014559281,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.2(1927),Item in place,0123500351192,39097014559299,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.10(1947),Item in place,0123500351275,39097014559307,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.11(1948),Item in place,0123500351283,39097014559315,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.12(1949),Item in place,0123500351291,39097014559323,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.13(1950),Item in place,0123500351309,39097014559810,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.18(1955),Item in place,0123500351358,39097014559828,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.23(1960),Item in place,0123500351408,39097014559836,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.28(1966),Item in place,0123500351457,39097014559844,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.33(1971),Item in place,0123500351515,39097014559851,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.3(1928-1929),Item in place,0123500351200,39097014559869,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.41(1979),Item in place,0123500351606,39097014559877,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.46(1985),Item in place,0123500351655,39097014559885,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.6(1936-1937),Item in place,0123500351234,39097014559893,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.69:no.1(2009:June),Item in place,B915863,39097014559901,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.70:no.1(2010:June),Item in place,B1126477,39097014559901,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.72:no.2(2012:Dec.),Item in place,B1379174,39097014559919,,
