MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
9940430101921,QP86 .E84,Main Library,Stacks,Item in place,Experimental aging research.,v.4(1978),0123500002076,39097015072433,#N/A,
9940430101921,QP86 .E84,Main Library,Stacks,Item in place,Experimental aging research.,v.5(1979),0123500002084,39097015072425,#N/A,
9940430101921,QP86 .E84,Main Library,Stacks,Item in place,Experimental aging research.,v.6(1980),0123500002092,39097015072417,#N/A,
9940430101921,QP86 .E84,Main Library,Stacks,Item in place,Experimental aging research.,v.7(1981),0123500002100,39097015072532,#N/A,
99186490101921,RA418 .S63,Main Library,Stacks,Item in place,Social science & medicine C:,v.14C(1980),0123500010269,39097015073043,#N/A,
99186490101921,RA418 .S63,Main Library,Stacks,Item in place,Social science & medicine C:,v.15C(1981),0123500010301,39097015073050,#N/A,
99186510101921,RA418 .S61,Main Library,Stacks,Item in place,Social science & medicine A:,v.13A(1979),0123500010335,39097015073084,#N/A,
99186510101921,RA418 .S61,Main Library,Stacks,Item in place,Social science & medicine A:,v.14A(1980),0123500010343,39097015073076,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 14 May.-Aug. 1975,0123500014584,39097015072060,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 15 Sept.-Dec. 1975,0123500014592,39097015072052,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 16 Jan.-Apr. 1976,0123500014600,39097015071930,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 17 May-Aug. 1976,0123500014618,39097015071948,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 19 Jan.-Apr. 1977,0123500014634,39097015071955,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 20 May-Aug. 1977,0123500014642,39097015071963,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 21 Sept.-Dec. 1977,0123500014659,39097015071971,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 22 Jan.-Apr. 1978,0123500014667,39097015071989,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 23 May-Aug. 1978,0123500014675,39097015071815,#N/A,
99296640101921,QL750 .B53,Main Library,Stacks,Item in place,Behavioral biology.,v. 24 Sept.-Dec. 1978,0123500014683,39097015071823,#N/A,
99403990101921,TR1 .R6a,Main Library,Stacks,Item in place,Journal - Photographic Society of London.,v. 1 no.1-19 1853-Je1854,0123500021340,39097015092134,#N/A,
99498260101921,RC321 .P942,Main Library,Stacks,Item in place,The Journal of continuing education in psychiatry.,v.40(1979),0123500032115,39097015082432,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 1 Nov. 1961,0123500064241,39097000976747,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 2 May 1964,0123500064258,39097015087316,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 3 Apr. 1965,0123500064266,39097015087191,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 4 May 1968,0123500064274,39097015087076,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 5 May 1970,0123500064282,39097015087324,#N/A,
99940210101921,RC565 .J625,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol. Supplement.,n. 6 May 1972,0123500064290,39097015087209,#N/A,
99940280101921,RC565 .J64,Main Library,Stacks,Item in place,Journal of studies on alcohol. Supplement.,no.9(1981),0123500064308,39097015086870,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 2 June 1941-Mar.1942,0123500064324,39097015086367,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 3 June 1942-Mar.1943,0123500064332,39097015086375,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 4 June 1943-Mar.1944,0123500064340,39097015087068,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 5 June 1944-Mar.1945,0123500064357,39097015086979,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 6 June 1945-Mar.1946,0123500064365,39097015087290,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 7 June 1946-Mar.1947,0123500064373,39097015087175,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 8 June 1947-Mar.1948,0123500064381,39097015087308,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 9 June 1948-Mar.1949,0123500064399,39097015087183,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 11 1950,0123500064415,39097015086383,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 12 1951,0123500064423,39097015086391,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 13 1952,0123500064431,39097015086409,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 15 1954,0123500064456,39097015086417,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 16 1955,0123500064464,39097015086425,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 17 1956,0123500064472,39097015086433,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 18 1957,0123500064480,39097015086441,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 19 1958,0123500064498,39097015086219,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 20 1959,0123500064506,39097015086227,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,Index: v. 11-20 1950-59,0123500064514,39097015086243,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 21 1960,0123500064522,39097015086235,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 22 1961,0123500064530,39097015086250,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 23 1962,0123500064548,39097015086268,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 24 1963,0123500064555,39097015086276,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 25 1964,0123500064563,39097015086284,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 26 1965,0123500064571,39097015086292,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 27 1966,0123500064589,39097015086300,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 28 1967,0123500064597,39097015086318,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 29 Mar.-June 1968,0123500064605,39097015086326,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 29 Sept.-Dec. 1968,0123500064613,39097015086813,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 30 Sept.-Dec. 1969,0123500064621,39097015086821,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 31 Sept.-Dec. 1970,0123500064647,39097015086839,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 32 Mar.-June 1971,0123500064654,39097015086847,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 32 Sept.-Dec. 1971,0123500064662,39097015086854,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 34 Mar.-June 1973,0123500064696,39097015086946,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 34 Sept.-Dec. 1973,0123500064704,39097015086953,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 35 Mar.-June 1974,0123500064712,39097015087050,#N/A,
99940350101921,RC565 .J62,Main Library,Stacks,Item in place,Quarterly journal of studies on alcohol.,v. 35 Sept.-Dec. 1974,0123500064720,39097015086961,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.13(1983),0123500110150,39097015073480,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.14(1984),0123500110168,39097015073605,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.15(1986),0123500110176,39097015073597,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.16(1986),0123500110184,39097015073589,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.18(1988),0123500110200,39097015073563,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.19(1989),0123500110218,39097015073555,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.20(1990),0123500110226,39097015073613,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.21(1991),0123500110234,39097015073621,#N/A,
991971520101921,RA421 .I49,Main Library,Stacks,Item in place,International journal of health services.,v.22(1992),0123500110242,39097015073639,#N/A,
992010330101921,RC321 .I812,Main Library,Stacks,Item in place,The Israel journal of psychiatry and related sciences.,v. 20 1983,0123500113675,39097015078984,#N/A,
992010330101921,RC321 .I812,Main Library,Stacks,Item in place,The Israel journal of psychiatry and related sciences.,v. 21 1984,0123500113683,39097015078992,#N/A,
992010330101921,RC321 .I812,Main Library,Stacks,Item in place,The Israel journal of psychiatry and related sciences.,v. 22 1985,0123500113691,39097015079008,#N/A,
992010330101921,RC321 .I812,Main Library,Stacks,Item in place,The Israel journal of psychiatry and related sciences.,v. 23 1986,0123500113709,39097015079602,#N/A,
