MMS Id,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base Status,Barcode,Scanned Barcode,Notes/Comments,Retention Commitment
996227750101921,0r!97.7 h4 k6,Main Library,Stacks,R97.7.H4 K6,á¸²orot.,v.4(1966-1968),Item in place,B52850,39097014541693,First 5 bound sets of Korot have the title written in Hebrew on the spine,
993179510101921,0p!99.4 p72 j68,Main Library,Stacks,P99.4.P72 J68,Journal of pragmatics.,v. 1 1977,Item in place,0123500141114,39097003336857,I am not sure which one this is supposed to be ,v.1(1977)-v.16(1991). committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993644850101921,0rf 1 j6,Main Library,Stacks,RF1 .J6,The Journal of auditory research.,v. 12 1972 & Index v.1-12,Item in place,0123500353420,39097014524202,index has separate barcode ,v.1(1961)- committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.10(1970),Item in place,0123500130778,39097014542428,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.11(1971),Item in place,0123500130786,39097014542436,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.12(1972),Item in place,0123500130794,39097014542444,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.13(1973),Item in place,0123500130802,39097014542451,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.14(1974),Item in place,0123500130810,39097014542469,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.15(1975),Item in place,0123500130828,39097014542477,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.16(1976),Item in place,0123500130836,39097014542485,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.17(1977),Item in place,0123500130844,39097014542493,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.18(1978),Item in place,0123500130851,39097014542501,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.19(1979),Item in place,0123500130869,39097014542519,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.20(1980),Item in place,0123500130877,39097014542527,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.21(1981),Item in place,0123500130885,39097014542535,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.22(1982),Item in place,0123500130893,39097014542543,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.23(1983),Item in place,0123500130901,39097014542550,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.24(1984),Item in place,0123500130919,39097014542568,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.25(1985),Item in place,0123500130927,39097014542576,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.26(1986),Item in place,0123500130935,39097014542584,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.28(1988),Item in place,0123500130950,39097014542592,,
992831140101921,0z#2231 b52,Main Library,Stacks,Z2231 .B52,Bibliographie der deutschen Sprach- und Literaturwissenschaft.,v.29(1989),Item in place,0123500130968,39097014542600,,
