Barcode, Error Message, Error Block, 
123500332465, Request failed with status code 429, Loop, 
B2039143, Request failed with status code 429, Loop, 
B2179176, Request failed with status code 429, Loop, 
B52851, Request failed with status code 429, Loop, 
123500130885, Request failed with status code 429, Loop, 
B52856, Request failed with status code 429, Loop, 
B1450774, Request failed with status code 429, Loop, 
123500526926, Request failed with status code 429, Loop, 
B989330, Request failed with status code 429, Loop, 
123500526975, Request failed with status code 429, Loop, 
423355-200, Request failed with status code 429, Loop, 
B995258, Request failed with status code 429, Loop, 
123500553102, Request failed with status code 429, Loop, 
B2051001, Request failed with status code 429, Loop, 
B2060336, Request failed with status code 429, Loop, 
123500528245, Request failed with status code 429, Loop, 
B2053384, Request failed with status code 429, Loop, 
B2068420, Request failed with status code 429, Loop, 
B657115, Request failed with status code 429, Loop, 
B2036811, Request failed with status code 429, Loop, 
B680239, Request failed with status code 429, Loop, 
123500526959, Request failed with status code 429, Loop, 
B2031606, Request failed with status code 429, Loop, 
B657109, Request failed with status code 429, Loop, 
123500526769, Request failed with status code 429, Loop, 
123500553201, Request failed with status code 429, Loop, 
B2179175, Request failed with status code 429, Loop, 
123500526728, Request failed with status code 429, Loop, 
B2045029, Request failed with status code 429, Loop, 
B657317, Request failed with status code 429, Loop, 
123500553029, Request failed with status code 429, Loop, 
123500526884, Request failed with status code 429, Loop, 
B2036961, Request failed with status code 429, Loop, 
B743970, Request failed with status code 429, Loop, 
B52853, Request failed with status code 429, Loop, 
B2059559, Request failed with status code 429, Loop, 
B1450824, Request failed with status code 429, Loop, 
70747-110, Request failed with status code 429, Loop, 
123500526777, Request failed with status code 429, Loop, 
123500526918, Request failed with status code 429, Loop, 
123500553219, Request failed with status code 429, Loop, 
B2019012, Request failed with status code 429, Loop, 
B2053770, Request failed with status code 429, Loop, 
B2184440, Request failed with status code 429, Loop, 
B995259, Request failed with status code 429, Loop, 
123500014972, Request failed with status code 429, Loop, 
123500526793, Request failed with status code 429, Loop, 
B2039185, Request failed with status code 429, Loop, 
B657110, Request failed with status code 429, Loop, 
123500526819, Request failed with status code 429, Loop, 
B657112, Request failed with status code 429, Loop, 
123500526850, Request failed with status code 429, Loop, 
123500063607, Request failed with status code 429, Loop, 
123500063490, Request failed with status code 429, Loop, 
1.2350139252639098e+25, Request failed with status code 429, Loop, 
123500549712, Request failed with status code 429, Loop, 
123500173752, Request failed with status code 429, Loop, 
B52852, Request failed with status code 429, Loop, 
B2049788, Request failed with status code 429, Loop, 
123500526744, Request failed with status code 429, Loop, 
123500141114, Request failed with status code 429, Loop, 
B2054165, Request failed with status code 429, Loop, 
B2045685, Request failed with status code 429, Loop, 
123500526934, Request failed with status code 429, Loop, 
123500553052, Request failed with status code 429, Loop, 
B2056612, Request failed with status code 429, Loop, 
B2179900, Request failed with status code 429, Loop, 
123500063573, Request failed with status code 429, Loop, 
B1311849, Request failed with status code 429, Loop, 
B2055406, Request failed with status code 429, Loop, 
B134302, Request failed with status code 429, Loop, 
123500063532, Request failed with status code 429, Loop, 
B2052125, Request failed with status code 429, Loop, 
123500061858, Request failed with status code 429, Loop, 
123500061775, Request failed with status code 429, Loop, 
B2047134, Request failed with status code 429, Loop, 
B2040674, Request failed with status code 429, Loop, 
B2184259, Request failed with status code 429, Loop, 
123500063516, Request failed with status code 429, Loop, 
123500549845, Request failed with status code 429, Loop, 
B1312440, Request failed with status code 429, Loop, 
B2052974, Request failed with status code 429, Loop, 
123500063482, Request failed with status code 429, Loop, 
B2057964, Request failed with status code 429, Loop, 
B1429243, Request failed with status code 429, Loop, 
123500061866, Request failed with status code 429, Loop, 
B680238, Request failed with status code 429, Loop, 
123500063623, Request failed with status code 429, Loop, 
B2053382, Request failed with status code 429, Loop, 
123500526785, Request failed with status code 429, Loop, 
123500173760, Request failed with status code 429, Loop, 
123500549936, Request failed with status code 429, Loop, 
163614-180, Request failed with status code 429, Loop, 
B608898, Request failed with status code 429, Loop, 
123500526967, Request failed with status code 429, Loop, 
B657116, Request failed with status code 429, Loop, 
123500526827, Request failed with status code 429, Loop, 
B2064095, Request failed with status code 429, Loop, 
B657117, Request failed with status code 429, Loop, 
B1128641, Request failed with status code 429, Loop, 
123500553177, Request failed with status code 429, Loop, 
123500015011, Request failed with status code 429, Loop, 
123500526694, Request failed with status code 429, Loop, 
123500063524, Request failed with status code 429, Loop, 
B2050525, Request failed with status code 429, Loop, 
B2051123, Request failed with status code 429, Loop, 
123500553243, Request failed with status code 429, Loop, 
B2040948, Request failed with status code 429, Loop, 
B2056566, Request failed with status code 429, Loop, 
123500063474, Request failed with status code 429, Loop, 
B2054284, Request failed with status code 429, Loop, 
123500061841, Request failed with status code 429, Loop, 
123500549993, Request failed with status code 429, Loop, 
123500063599, Request failed with status code 429, Loop, 
B52855, Request failed with status code 429, Loop, 
123500527007, Request failed with status code 429, Loop, 
B754790, Request failed with status code 429, Loop, 
B2052928, Request failed with status code 429, Loop, 
123500063540, Request failed with status code 429, Loop, 
B52858, Request failed with status code 429, Loop, 
B2053386, Request failed with status code 429, Loop, 
123500063581, Request failed with status code 429, Loop, 
B2052972, Request failed with status code 429, Loop, 
123500061767, Request failed with status code 429, Loop, 
123500063557, Request failed with status code 429, Loop, 
B2041618, Request failed with status code 429, Loop, 
B2035201, Request failed with status code 429, Loop, 
B2049964, Request failed with status code 429, Loop, 
123500552989, Request failed with status code 429, Loop, 
123500553128, Request failed with status code 429, Loop, 
B608901, Request failed with status code 429, Loop, 
123500526835, Request failed with status code 429, Loop, 
123500553086, Request failed with status code 429, Loop, 
123500876065, Request failed with status code 429, Loop, 
163614-190, Request failed with status code 429, Loop, 
B2055042, Request failed with status code 429, Loop, 
B2053380, Request failed with status code 429, Loop, 
123500526876, Request failed with status code 429, Loop, 
123500553185, Request failed with status code 429, Loop, 
123500014949, Request failed with status code 429, Loop, 
B2179177, Request failed with status code 429, Loop, 
B20160316, Request failed with status code 429, Loop, 
123500130950, Request failed with status code 429, Loop, 
123500061833, Request failed with status code 429, Loop, 
B1450823, Request failed with status code 429, Loop, 
B174071, Request failed with status code 429, Loop, 
B2039529, Request failed with status code 429, Loop, 
123500061759, Request failed with status code 429, Loop, 
123500526942, Request failed with status code 429, Loop, 
B2063616, Request failed with status code 429, Loop, 
123500015060, Request failed with status code 429, Loop, 
B236586, Request failed with status code 429, Loop, 
B2047006, Request failed with status code 429, Loop, 
123500549860, Request failed with status code 429, Loop, 
123500526843, Request failed with status code 429, Loop, 
123500549738, Request failed with status code 429, Loop, 
123500553144, Request failed with status code 429, Loop, 
123500173778, Request failed with status code 429, Loop, 
B608900, Request failed with status code 429, Loop, 
B658072, Request failed with status code 429, Loop, 
B2036303, Request failed with status code 429, Loop, 
375729-990, Request failed with status code 429, Loop, 
123500526892, Request failed with status code 429, Loop, 
123500061809, Request failed with status code 429, Loop, 
B209829, Request failed with status code 429, Loop, 
B2175162, Request failed with status code 429, Loop, 
163614-210, Request failed with status code 429, Loop, 
123500549803, Request failed with status code 429, Loop, 
B657113, Request failed with status code 429, Loop, 
B2036963, Request failed with status code 429, Loop, 
B2044147, Request failed with status code 429, Loop, 
123500063466, Request failed with status code 429, Loop, 
123500549977, Request failed with status code 429, Loop, 
123500553169, Request failed with status code 429, Loop, 
123500332416, Request failed with status code 429, Loop, 
123500014980, Request failed with status code 429, Loop, 
