Barcode, Error Message, Error Block, 
39097008463276, Request failed with status code 400, Loop, 
39097008463326, Request failed with status code 400, Loop, 
39097008463581, Request failed with status code 400, Loop, 
39097008463532, Request failed with status code 400, Loop, 
39097011137347, Request failed with status code 400, Loop, 
39097012019031, Request failed with status code 400, Loop, 
39097013418232, Request failed with status code 400, Loop, 
39097008577406, Request failed with status code 400, Loop, 
39097008577455, Request failed with status code 400, Loop, 
39097008577505, Request failed with status code 400, Loop, 
39097008601545, Request failed with status code 400, Loop, 
39097003396794, Request failed with status code 400, Loop, 
39097000319880, Request failed with status code 400, Loop, 
39097010644525, Request failed with status code 400, Loop, 
39097011438885, Request failed with status code 400, Loop, 
39097011399004, Request failed with status code 400, Loop, 
39097010511344, Request failed with status code 400, Loop, 
39097012768462, Request failed with status code 400, Loop, 
39097010367812, Request failed with status code 400, Loop, 
39097003281939, Request failed with status code 400, Loop, 
39097014302807, Request failed with status code 400, Loop, 
39097002098144, Request failed with status code 400, Loop, 
39097003328391, Request failed with status code 400, Loop, 
39097013013090, Request failed with status code 400, Loop, 
39097004209269, Request failed with status code 400, Loop, 
39097004347317, Request failed with status code 400, Loop, 
39097004209293, Request failed with status code 400, Loop, 
39097004241759, Request failed with status code 400, Loop, 
39097003640498, Request failed with status code 400, Loop, 
39097005870267, Request failed with status code 400, Loop, 
39097004131075, Request failed with status code 400, Loop, 
39097004209285, Request failed with status code 400, Loop, 
39097003427391, Request failed with status code 400, Loop, 
39097005015947, Request failed with status code 400, Loop, 
39097004347309, Request failed with status code 400, Loop, 
39097003427482, Request failed with status code 400, Loop, 
39097001848812, Request failed with status code 400, Loop, 
39097014655451, read ETIMEDOUT, Loop, 
39097014593819, read ETIMEDOUT, Loop, 
39097014593876, Request failed with status code 400, Loop, 
39097014593868, Request failed with status code 400, Loop, 
39097014593850, Request failed with status code 400, Loop, 
39097014593843, Request failed with status code 400, Loop, 
39097014640792, read ETIMEDOUT, Loop, 
39097000733825, Request failed with status code 400, Loop, 
39097014648035, Request failed with status code 400, Loop, 
39097000189143, Request failed with status code 400, Loop, 
39097001472530, Request failed with status code 400, Loop, 
39097010185602, Request failed with status code 400, Loop, 
